Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR12853364,2021-11-01 00:17:46,2020-10-21 03:16:21,6160237,1206734896,3749603,195,348,assembly,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR012/12853/SRR12853364/SRR12853364.lite.1,SRX9320488,GOR303,RAD-Seq,Reduced Representation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP287913,PRJNA669447,,669447,SRS7545013,SAMN16483821,simple,37657,Silene latifolia,GOR303,,,,,male,,no,,,,,UPPSALA UNIVERSITY,SRA1145825,,public,EA09A4D88BD1A96AC32C91E2E7AC50C6,E3E5E3E7BD85952560EEEDC79CE3AD17
SRR12853363,2021-11-01 00:17:46,2020-10-21 03:13:30,8127970,1574171734,4798541,193,423,assembly,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR012/12853/SRR12853363/SRR12853363.lite.1,SRX9320489,GOR354,RAD-Seq,Reduced Representation,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP287913,PRJNA669447,,669447,SRS7545014,SAMN16483822,simple,37657,Silene latifolia,GOR354,,,,,female,,no,,,,,UPPSALA UNIVERSITY,SRA1145825,,public,025D0B0E5D51D50AC22730816289F7C9,C6B23D47E61C9878DAAA097D4A644BE3
SRR2050366,2015-06-10 04:16:35,2015-06-04 10:12:22,5459684,1075557748,5459684,197,599,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR002/050/SRR2050366/SRR2050366.sralite.1,SRX1048188,H2005-1/4,WGS,Restriction Digest,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP059056,PRJNA285775,,285775,SRS952553,SAMN03758696,simple,37657,Silene latifolia,H2005-1/4,,,,,male,,no,,,,,UNIVERSITY OF EDINBURGH,SRA271283,,public,65D70AD11D92054FD51E2C3E76024DC7,5188528A66F8796F70B9D3F82E611354
SRR2050365,2015-06-10 04:16:35,2015-06-04 10:13:11,7405176,1458819672,7405176,197,824,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR002/050/SRR2050365/SRR2050365.sralite.1,SRX1048187,H2005-1/9,WGS,Restriction Digest,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP059056,PRJNA285775,,285775,SRS952559,SAMN03758695,simple,37657,Silene latifolia,H2005-1/9,,,,,female,,no,,,,,UNIVERSITY OF EDINBURGH,SRA271283,,public,325DAA96EC692D6602FF0B88980447CC,C1D8DCE0E5A7E5B454FE09EB4D90B19F
SRR2050372,2015-06-10 04:16:35,2015-06-04 08:40:59,1127124,222043428,1127124,197,130,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR002/050/SRR2050372/SRR2050372.sralite.1,SRX1048194,H2005-1F2/12,WGS,Restriction Digest,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP059056,PRJNA285775,,285775,SRS952554,SAMN03758710,simple,37657,Silene latifolia,H2005-1F2/12,,,,,male,,no,,,,,UNIVERSITY OF EDINBURGH,SRA271283,,public,7F5E204D7C4FF6906734233FA51450E1,B70F0260E158AFC010E5A0FC6F40791A
SRR2050384,2015-06-10 04:16:35,2015-06-04 08:36:43,188219,37079143,188219,197,20,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR002/050/SRR2050384/SRR2050384.sralite.1,SRX1048206,H2005-1F2/15,WGS,Restriction Digest,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP059056,PRJNA285775,,285775,SRS952568,SAMN03758698,simple,37657,Silene latifolia,H2005-1F2/15,,,,,female,,no,,,,,UNIVERSITY OF EDINBURGH,SRA271283,,public,EF26FCEBA957D8733CEB5ED0DB05F2C7,CDF4906715904F56E8D7011C4C558C79
SRR2050385,2015-06-10 04:16:35,2015-06-04 08:36:47,295808,58274176,295808,197,33,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR002/050/SRR2050385/SRR2050385.sralite.1,SRX1048207,H2005-1F2/17,WGS,Restriction Digest,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP059056,PRJNA285775,,285775,SRS952567,SAMN03758699,simple,37657,Silene latifolia,H2005-1F2/17,,,,,female,,no,,,,,UNIVERSITY OF EDINBURGH,SRA271283,,public,31ED7A439B8E49E79967AB025F55845C,610DBE54C6C6650F816FFCBDAC126DAE
SRR2050373,2015-06-10 04:16:35,2015-06-04 08:41:20,1116461,219942817,1116461,197,127,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR002/050/SRR2050373/SRR2050373.sralite.1,SRX1048195,H2005-1F2/18,WGS,Restriction Digest,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP059056,PRJNA285775,,285775,SRS952573,SAMN03758711,simple,37657,Silene latifolia,H2005-1F2/18,,,,,male,,no,,,,,UNIVERSITY OF EDINBURGH,SRA271283,,public,4EFE56479C6F134AD8E97FABD186E163,942FAE550F4142951D66A581BEFDC6E2
SRR2050386,2015-06-10 04:16:35,2015-06-04 08:37:08,1516350,298720950,1516350,197,176,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR002/050/SRR2050386/SRR2050386.sralite.1,SRX1048208,H2005-1F2/19,WGS,Restriction Digest,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP059056,PRJNA285775,,285775,SRS952566,SAMN03758700,simple,37657,Silene latifolia,H2005-1F2/19,,,,,female,,no,,,,,UNIVERSITY OF EDINBURGH,SRA271283,,public,73FD7658E1F503E386F689D421F0A5F2,E113225E88D6850E6A8A4E9481D01EE5
SRR2050374,2015-06-10 04:16:35,2015-06-04 08:41:08,1391182,274062854,1391182,197,162,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR002/050/SRR2050374/SRR2050374.sralite.1,SRX1048196,H2005-1F2/21,WGS,Restriction Digest,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP059056,PRJNA285775,,285775,SRS952572,SAMN03758712,simple,37657,Silene latifolia,H2005-1F2/21,,,,,male,,no,,,,,UNIVERSITY OF EDINBURGH,SRA271283,,public,43FAAA815296806EA263E278ECBA5BA3,1BABB624AB59769B4484D27FCEE28B5F
SRR2050387,2015-06-10 04:16:35,2015-06-04 08:36:48,537552,105897744,537552,197,62,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR002/050/SRR2050387/SRR2050387.sralite.1,SRX1048209,H2005-1F2/24,WGS,Restriction Digest,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP059056,PRJNA285775,,285775,SRS952577,SAMN03758701,simple,37657,Silene latifolia,H2005-1F2/24,,,,,female,,no,,,,,UNIVERSITY OF EDINBURGH,SRA271283,,public,266CFE267634CA50B60219A1CF8E5ECB,96153C324FF5D0A0FC18ED447ED17665
SRR2050375,2015-06-10 04:16:35,2015-06-04 08:40:58,1022486,201429742,1022486,197,118,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR002/050/SRR2050375/SRR2050375.sralite.1,SRX1048197,H2005-1F2/26,WGS,Restriction Digest,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP059056,PRJNA285775,,285775,SRS952564,SAMN03758713,simple,37657,Silene latifolia,H2005-1F2/26,,,,,male,,no,,,,,UNIVERSITY OF EDINBURGH,SRA271283,,public,45130D9261D8D9273DAD51A434B74498,AD9B7E1BEF8E1FEC6AE4D5AA693F2539
SRR2050377,2015-06-10 04:16:35,2015-06-04 08:41:13,1837209,361930173,1837209,197,212,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR002/050/SRR2050377/SRR2050377.sralite.1,SRX1048199,H2005-1F2/3,WGS,Restriction Digest,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP059056,PRJNA285775,,285775,SRS952562,SAMN03758697,simple,37657,Silene latifolia,H2005-1F2/3,,,,,female,,no,,,,,UNIVERSITY OF EDINBURGH,SRA271283,,public,ABD7AF768E2A2B72F5B73F839D4C64C1,C85CF5328F628AAFB6ABC26A35F051DE
SRR2050376,2015-06-10 04:16:35,2015-06-04 08:40:59,1178614,232186958,1178614,197,134,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR002/050/SRR2050376/SRR2050376.sralite.1,SRX1048198,H2005-1F2/30,WGS,Restriction Digest,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP059056,PRJNA285775,,285775,SRS952563,SAMN03758714,simple,37657,Silene latifolia,H2005-1F2/30,,,,,male,,no,,,,,UNIVERSITY OF EDINBURGH,SRA271283,,public,FCDF928AE281A243E3755DE7951B6F93,28DA6D0C73EAD285A341D80639477873
SRR2050388,2015-06-10 04:16:35,2015-06-04 08:37:18,2115113,416677261,2115113,197,247,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR002/050/SRR2050388/SRR2050388.sralite.1,SRX1048210,H2005-1F2/33,WGS,Restriction Digest,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP059056,PRJNA285775,,285775,SRS952576,SAMN03758702,simple,37657,Silene latifolia,H2005-1F2/33,,,,,female,,no,,,,,UNIVERSITY OF EDINBURGH,SRA271283,,public,F2CEA749F0C373F13455468004364676,6257AAF3C0717353323CED69191DC0B0
SRR2050389,2015-06-10 04:16:35,2015-06-04 08:37:11,1437151,283118747,1437151,197,167,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR002/050/SRR2050389/SRR2050389.sralite.1,SRX1048211,H2005-1F2/34,WGS,Restriction Digest,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP059056,PRJNA285775,,285775,SRS952575,SAMN03758703,simple,37657,Silene latifolia,H2005-1F2/34,,,,,female,,no,,,,,UNIVERSITY OF EDINBURGH,SRA271283,,public,0A4D5FC64C801C4016FDF7AB8545FAEC,3B50AB2B360CA84633D45FED74BC2249
SRR2050390,2015-06-10 04:16:35,2015-06-04 08:36:45,327169,64452293,327169,197,37,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR002/050/SRR2050390/SRR2050390.sralite.1,SRX1048212,H2005-1F2/35,WGS,Restriction Digest,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP059056,PRJNA285775,,285775,SRS952574,SAMN03758704,simple,37657,Silene latifolia,H2005-1F2/35,,,,,female,,no,,,,,UNIVERSITY OF EDINBURGH,SRA271283,,public,64030A6DDAA5CB3F86A7C07790239AD0,AB32C99CEE401A58633D1F06C1A21C57
SRR2050378,2015-06-10 04:16:35,2015-06-04 08:41:18,970102,191110094,970102,197,111,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR002/050/SRR2050378/SRR2050378.sralite.1,SRX1048200,H2005-1F2/45,WGS,Restriction Digest,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP059056,PRJNA285775,,285775,SRS952561,SAMN03758715,simple,37657,Silene latifolia,H2005-1F2/45,,,,,male,,no,,,,,UNIVERSITY OF EDINBURGH,SRA271283,,public,7205E8EC9A6201448FEEEA1B6974763B,DC133E5470D2BFDC7392C47473BB88CB
SRR2050379,2015-06-10 04:16:35,2015-06-04 08:39:48,449909,88632073,449909,197,51,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR002/050/SRR2050379/SRR2050379.sralite.1,SRX1048201,H2005-1F2/64,WGS,Restriction Digest,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP059056,PRJNA285775,,285775,SRS952560,SAMN03758716,simple,37657,Silene latifolia,H2005-1F2/64,,,,,male,,no,,,,,UNIVERSITY OF EDINBURGH,SRA271283,,public,F49CC59B96EBC7D79B88210435BC1B25,4FAC00E16DD4F3315C15984C6F6A0A42
SRR2050367,2015-06-10 04:16:35,2015-06-04 08:41:44,287482,56633954,287482,197,32,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR002/050/SRR2050367/SRR2050367.sralite.1,SRX1048189,H2005-1F2/72,WGS,Restriction Digest,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP059056,PRJNA285775,,285775,SRS952552,SAMN03758705,simple,37657,Silene latifolia,H2005-1F2/72,,,,,female,,no,,,,,UNIVERSITY OF EDINBURGH,SRA271283,,public,F357B1680B6416887EC2F2FA751593AD,011E3246B133B40ABCA585A1304E703C
SRR2050368,2015-06-10 04:16:35,2015-06-04 08:42:04,1470409,289670573,1470409,197,169,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR002/050/SRR2050368/SRR2050368.sralite.1,SRX1048190,H2005-1F2/73,WGS,Restriction Digest,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP059056,PRJNA285775,,285775,SRS952558,SAMN03758706,simple,37657,Silene latifolia,H2005-1F2/73,,,,,female,,no,,,,,UNIVERSITY OF EDINBURGH,SRA271283,,public,2053F5B8BFD2658DF1E808955551D21F,438169A074A03EE6883BBBD2E0C6A3AA
SRR2050371,2015-06-10 04:16:35,2015-06-04 08:40:45,307421,60561937,307421,197,34,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR002/050/SRR2050371/SRR2050371.sralite.1,SRX1048193,H2005-1F2/8,WGS,Restriction Digest,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP059056,PRJNA285775,,285775,SRS952555,SAMN03758709,simple,37657,Silene latifolia,H2005-1F2/8,,,,,male,,no,,,,,UNIVERSITY OF EDINBURGH,SRA271283,,public,9EFAE762E6FC62BD0A0B80E9D6B25DD8,8D0D7C690B22D4046E1D5C2B35D83EC1
SRR2050369,2015-06-10 04:16:35,2015-06-04 08:42:05,1308564,257787108,1308564,197,151,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR002/050/SRR2050369/SRR2050369.sralite.1,SRX1048191,H2005-1F2/84,WGS,Restriction Digest,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP059056,PRJNA285775,,285775,SRS952557,SAMN03758707,simple,37657,Silene latifolia,H2005-1F2/84,,,,,female,,no,,,,,UNIVERSITY OF EDINBURGH,SRA271283,,public,835F02030B2262E9ACBE940E667188BA,792814AADF911379285DAE0C66255216
SRR2050370,2015-06-10 04:16:35,2015-06-04 08:41:38,2222788,437889236,2222788,197,258,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR002/050/SRR2050370/SRR2050370.sralite.1,SRX1048192,H2005-1F2/86,WGS,Restriction Digest,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP059056,PRJNA285775,,285775,SRS952556,SAMN03758708,simple,37657,Silene latifolia,H2005-1F2/86,,,,,female,,no,,,,,UNIVERSITY OF EDINBURGH,SRA271283,,public,B43653770D5B0BC18658169230F75518,D5688CC36891D35B5EE7FC650065893C
SRR2050380,2015-06-10 04:16:35,2015-06-04 08:40:09,1320284,260095948,1320284,197,152,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR002/050/SRR2050380/SRR2050380.sralite.1,SRX1048202,H2005-1F2/91,WGS,Restriction Digest,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP059056,PRJNA285775,,285775,SRS952571,SAMN03758717,simple,37657,Silene latifolia,H2005-1F2/91,,,,,male,,no,,,,,UNIVERSITY OF EDINBURGH,SRA271283,,public,1D64E3EB04E960C0B140CF8F247F27F4,FCB8694537152FADFFD732FB542FF4BE
SRR2050381,2015-06-10 04:16:35,2015-06-04 08:37:07,1164601,229426397,1164601,197,135,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR002/050/SRR2050381/SRR2050381.sralite.1,SRX1048203,H2005-1F2/94,WGS,Restriction Digest,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP059056,PRJNA285775,,285775,SRS952570,SAMN03758718,simple,37657,Silene latifolia,H2005-1F2/94,,,,,male,,no,,,,,UNIVERSITY OF EDINBURGH,SRA271283,,public,FF0ECED8101B23C22AD27BC7E79BA2CD,E67857EFBEEAE0E0ED182597976A6A36
SRR2050382,2015-06-10 04:16:35,2015-06-04 08:36:56,655553,129143941,655553,197,75,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR002/050/SRR2050382/SRR2050382.sralite.1,SRX1048204,H2005-1F2/96,WGS,Restriction Digest,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP059056,PRJNA285775,,285775,SRS952569,SAMN03758719,simple,37657,Silene latifolia,H2005-1F2/96,,,,,male,,no,,,,,UNIVERSITY OF EDINBURGH,SRA271283,,public,93EB34190A4E18FA4B488799FCE8F625,A0615ACC33C84A6310F0FD0B2FCC7790
SRR2050383,2015-06-10 04:16:35,2015-06-04 08:37:49,1518179,299081263,1518179,197,177,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR002/050/SRR2050383/SRR2050383.sralite.1,SRX1048205,H2005-1F2/97,WGS,Restriction Digest,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP059056,PRJNA285775,,285775,SRS952565,SAMN03758720,simple,37657,Silene latifolia,H2005-1F2/97,,,,,male,,no,,,,,UNIVERSITY OF EDINBURGH,SRA271283,,public,E97CB0D328FD261E9EC626D7E6DE22D9,50D6A3F5ACD4A35CE6F8ADBB77C6BA72
